20.0|-0.00045540203687147987 -0.0006245111146189644 -8.983874692073258e-05 -0.0012618371925895713 0.01911526615777904 0.004677547076475405 -0.02316873249746887 -0.0347319678386492 0.04177370613341003 0.028194865589676633 0.02156363212696825 -0.04704589399798457 -0.006510321956171551 0.07162092471978333 0.15017746971291335
21.0|1.065103442712145e-06 5.337124888291454e-06 -4.78840724878848e-06 7.308512655869833e-05 -4.2916386187228586e-05 -0.00015870497105248058 0.001013301506475126 -0.0004746117823193344 0.0009435989203813296 -0.0006970770492427199 -0.001070995786967286 -0.0002842816299144083 0.0001949496502519227 -0.003969022296445843 -0.0007752627586913253
22.0|-1.0641940545192101e-05 -9.55829766444373e-06 3.242189230405488e-05 -6.212806482553392e-05 0.0003224755801692724 0.00013374066944829777 -0.00031891167392180905 0.002227959947684706 -0.0010773025017782904 0.0003190020428791225 0.0020026349409736567 -0.0012596485178247327 -0.001959731616338497 0.0012461426183398184 -0.003022542607718528
23.0|-2.0609005557504225e-07 5.633842709660582e-07 -1.1334453107034054e-06 6.506287834454748e-07 7.221163657650573e-06 1.1202462760385538e-06 6.17420132205684e-05 3.7706444422479884e-05 0.00010751851340680539 -3.031372623356045e-05 9.580033082265967e-05 -4.391279879370873e-06 0.0001003875962278932 7.983668082272563e-05 0.00013409890748445035
24.0|-2.046574844396005e-08 -6.019396109788769e-08 -6.894807034946255e-08 -1.2697306177458618e-07 2.887876145065752e-07 -1.0108497246805872e-06 7.090267824321688e-06 -5.406219929038169e-06 -6.485346852119741e-06 1.6572200818493363e-06 7.488558097156406e-07 -7.372778354616834e-06 -9.655088693286703e-06 -1.9575800978017346e-05 8.379908019649958e-06
25.0|3.6444097355324222e-09 7.121137996903605e-09 4.973210974405184e-09 1.3763724280699176e-08 -3.304659388586056e-08 1.7967695688448552e-07 -6.178261003575411e-07 -1.9208159507288695e-07 9.924927871694818e-07 -2.3446350166431615e-07 -1.3752693743464812e-07 1.811113117081901e-06 7.168306050792989e-07 3.2114078310926387e-06 -1.8694840727726698e-07
26.0|-8.92164839949749e-09 1.6448650420713646e-07 -1.483917043574151e-07 -2.718255084912884e-08 7.332179478883593e-07 -3.6425206565991217e-07 -2.3480332994587882e-07 -5.64974603360858e-06 8.506492685562528e-06 -8.87787872691565e-06 -2.0191465968301633e-06 -7.789865541753844e-06 1.9158731133026167e-05 -3.815897503278177e-06 -2.945319934437772e-06
27.0|-0.00012290013512141536 5.436379360916305e-06 -0.0011513108023175449 -0.0015490992448471026 0.008101323496777148 -0.00026953688425714593 0.021544139688389908 -0.028315046192294226 0.004374861497423069 -0.046418816337922844 0.06993556307328551 -0.19856648918353692 0.08691029131337605 -0.2088903797451706 0.15102124204246753
28.0|3.7078883494601606e-08 -4.312191522755174e-09 -1.7568644527053523e-07 1.2264374760741567e-06 1.3594085284818877e-06 9.895881992272727e-06 -4.749178756316803e-06 -2.111786626246667e-05 3.5660687444346145e-05 2.052774826104135e-05 2.7353795141607665e-05 0.00011851785339122566 -6.615397011600817e-05 0.000277061945582661 -0.00010551777125934172
29.0|7.253962155323888e-05 -0.0006143653768434364 0.0016977073175287057 0.0012643884633561048 -0.002230931275261065 0.008820584719150523 -0.060136761441501596 -0.002878943498871361 -0.08186257396482813 0.03713430882427769 -0.029315797595589766 0.004417464665728591 -0.04778330916951266 0.07298012269763635 -0.05135960636105284
30.0|0.00011642334233155952 -0.0003091012554030903 0.0015019324988782242 0.001083542603735724 -0.009321728057655444 0.004237042036018603 -0.06214069183758243 0.03373607624447563 -0.05526938246146275 0.052379382795411024 -0.076088405745702 0.163834791147215 -0.15969686906951064 0.2104797775972541 -0.142831239511819
31.0|1.4581893604755733e-08 -4.198557415865716e-08 2.0177578271152175e-07 -2.177969473389893e-07 -1.5444767604097888e-06 1.431747784565717e-07 -1.104774792402203e-05 -9.586793582975098e-06 -8.712212034461024e-06 -1.7154275220440025e-06 -1.990462062811028e-05 4.965052119076553e-06 1.586903772662838e-05 2.4094431753484934e-05 -1.9637899775418678e-05
32.0|-4.013796806358497e-09 2.1133719062540888e-09 -8.659784170467196e-09 -1.6292493294051147e-08 7.440000610156965e-08 3.365323485854369e-09 -2.205888428549674e-07 -1.1597565608680801e-07 2.3814848319919515e-07 -5.079234803618663e-07 2.4738695306797694e-07 -9.539439127922553e-07 9.500228982505303e-07 4.024625226607057e-08 6.204547933943001e-07
33.0|-1.663658374008452e-05 -0.00017611291410425404 -0.00012170199889009173 9.715499486558576e-05 -0.0002931020568635322 -7.106181147240784e-05 -0.002507932518523921 0.00667548112285638 0.0018209616435303326 0.01347396221495482 0.002998454615923503 0.0028291325488628742 -0.021136665469371513 0.0011969471608390555 0.000998715630148576
34.0|-3.252798063769112e-06 -1.1142276918181013e-06 -1.3684116456725817e-05 1.7576345774995275e-05 -0.0003770671384261289 0.0003446754898921626 -0.0027958294586216898 0.002706656528008102 0.001686673685575205 0.0015705820638990669 0.0016079503975653228 0.0007482272434176892 -0.003607964328414075 0.0004911897385210668 -0.000430848692169865
35.0|8.781064762160841e-09 -1.628285117017408e-08 3.802861394469937e-08 -5.2399754610481064e-08 -3.977741517876637e-07 1.6714418839919407e-08 -2.483302022924391e-06 -2.8143239494746957e-06 -2.821794535285144e-06 -6.982822925123402e-07 -6.071865975269001e-06 2.5622011613758388e-06 -4.62740657860143e-06 -1.2341619738990442e-06 -3.2503045050672995e-06
